Freq.	V(wyjscie)
1.26575659397028e+001	(-3.58741379389989e+001dB,1.79644626536270e+002°)
1.27456062731927e+001	(-3.57537259307063e+001dB,1.79642154689452e+002°)
1.28342589756291e+001	(-3.56333139222742e+001dB,1.79639665648973e+002°)
1.29235283063750e+001	(-3.55129019137008e+001dB,1.79637159295228e+002°)
1.30134185544194e+001	(-3.53924899049840e+001dB,1.79634635507781e+002°)
1.31039340385837e+001	(-3.52720778961220e+001dB,1.79632094165358e+002°)
1.31950791077290e+001	(-3.51516658871126e+001dB,1.79629535145840e+002°)
1.32868581409652e+001	(-3.50312538779539e+001dB,1.79626958326260e+002°)
1.33792755478612e+001	(-3.49108418686438e+001dB,1.79624363582795e+002°)
1.34723357686569e+001	(-3.47904298591802e+001dB,1.79621750790759e+002°)
1.35660432744768e+001	(-3.46700178495610e+001dB,1.79619119824600e+002°)
1.36604025675440e+001	(-3.45496058397840e+001dB,1.79616470557892e+002°)
1.37554181813975e+001	(-3.44291938298470e+001dB,1.79613802863330e+002°)
1.38510946811093e+001	(-3.43087818197478e+001dB,1.79611116612721e+002°)
1.39474366635041e+001	(-3.41883698094842e+001dB,1.79608411676981e+002°)
1.40444487573800e+001	(-3.40679577990540e+001dB,1.79605687926131e+002°)
1.41421356237310e+001	(-3.39475457884547e+001dB,1.79602945229282e+002°)
1.42405019559708e+001	(-3.38271337776841e+001dB,1.79600183454638e+002°)
1.43395524801583e+001	(-3.37067217667398e+001dB,1.79597402469486e+002°)
1.44392919552250e+001	(-3.35863097556193e+001dB,1.79594602140188e+002°)
1.45397251732032e+001	(-3.34658977443204e+001dB,1.79591782332176e+002°)
1.46408569594563e+001	(-3.33454857328404e+001dB,1.79588942909946e+002°)
1.47426921729111e+001	(-3.32250737211770e+001dB,1.79586083737053e+002°)
1.48452357062905e+001	(-3.31046617093275e+001dB,1.79583204676100e+002°)
1.49484924863494e+001	(-3.29842496972894e+001dB,1.79580305588734e+002°)
1.50524674741107e+001	(-3.28638376850600e+001dB,1.79577386335642e+002°)
1.51571656651040e+001	(-3.27434256726369e+001dB,1.79574446776539e+002°)
1.52625920896057e+001	(-3.26230136600172e+001dB,1.79571486770163e+002°)
1.53687518128802e+001	(-3.25026016471982e+001dB,1.79568506174272e+002°)
1.54756499354240e+001	(-3.23821896341773e+001dB,1.79565504845633e+002°)
1.55832915932101e+001	(-3.22617776209516e+001dB,1.79562482640015e+002°)
1.56916819579351e+001	(-3.21413656075182e+001dB,1.79559439412185e+002°)
1.58008262372676e+001	(-3.20209535938745e+001dB,1.79556375015898e+002°)
1.59107296750984e+001	(-3.19005415800173e+001dB,1.79553289303892e+002°)
1.60213975517925e+001	(-3.17801295659439e+001dB,1.79550182127881e+002°)
1.61328351844426e+001	(-3.16597175516511e+001dB,1.79547053338545e+002°)
1.62450479271248e+001	(-3.15393055371360e+001dB,1.79543902785527e+002°)
1.63580411711557e+001	(-3.14188935223956e+001dB,1.79540730317422e+002°)
1.64718203453515e+001	(-3.12984815074267e+001dB,1.79537535781773e+002°)
1.65863909162889e+001	(-3.11780694922261e+001dB,1.79534319025060e+002°)
1.67017583885675e+001	(-3.10576574767908e+001dB,1.79531079892697e+002°)
1.68179283050744e+001	(-3.09372454611173e+001dB,1.79527818229020e+002°)
1.69349062472506e+001	(-3.08168334452025e+001dB,1.79524533877283e+002°)
1.70526978353592e+001	(-3.06964214290431e+001dB,1.79521226679648e+002°)
1.71713087287552e+001	(-3.05760094126357e+001dB,1.79517896477181e+002°)
1.72907446261574e+001	(-3.04555973959769e+001dB,1.79514543109838e+002°)
1.74110112659226e+001	(-3.03351853790631e+001dB,1.79511166416465e+002°)
1.75321144263208e+001	(-3.02147733618910e+001dB,1.79507766234785e+002°)
1.76540599258132e+001	(-3.00943613444569e+001dB,1.79504342401390e+002°)
1.77768536233315e+001	(-2.99739493267572e+001dB,1.79500894751736e+002°)
1.79005014185596e+001	(-2.98535373087884e+001dB,1.79497423120135e+002°)
1.80250092522167e+001	(-2.97331252905466e+001dB,1.79493927339745e+002°)
1.81503831063433e+001	(-2.96127132720282e+001dB,1.79490407242562e+002°)
1.82766290045881e+001	(-2.94923012532293e+001dB,1.79486862659412e+002°)
1.84037530124976e+001	(-2.93718892341462e+001dB,1.79483293419947e+002°)
1.85317612378075e+001	(-2.92514772147749e+001dB,1.79479699352630e+002°)
1.86606598307363e+001	(-2.91310651951113e+001dB,1.79476080284731e+002°)
1.87904549842804e+001	(-2.90106531751517e+001dB,1.79472436042318e+002°)
1.89211529345120e+001	(-2.88902411548918e+001dB,1.79468766450249e+002°)
1.90527599608789e+001	(-2.87698291343275e+001dB,1.79465071332162e+002°)
1.91852823865054e+001	(-2.86494171134547e+001dB,1.79461350510468e+002°)
1.93187265784970e+001	(-2.85290050922692e+001dB,1.79457603806341e+002°)
1.94530989482458e+001	(-2.84085930707666e+001dB,1.79453831039711e+002°)
1.95884059517387e+001	(-2.82881810489427e+001dB,1.79450032029256e+002°)
1.97246540898673e+001	(-2.81677690267930e+001dB,1.79446206592388e+002°)
1.98618499087409e+001	(-2.80473570043130e+001dB,1.79442354545252e+002°)
2.00000000000001e+001	(-2.79269449814982e+001dB,1.79438475702712e+002°)
2.01391110011345e+001	(-2.78065329583442e+001dB,1.79434569878342e+002°)
2.02791895958007e+001	(-2.76861209348461e+001dB,1.79430636884419e+002°)
2.04202425141440e+001	(-2.75657089109993e+001dB,1.79426676531915e+002°)
2.05622765331215e+001	(-2.74452968867991e+001dB,1.79422688630483e+002°)
2.07052984768277e+001	(-2.73248848622405e+001dB,1.79418672988453e+002°)
2.08493152168226e+001	(-2.72044728373188e+001dB,1.79414629412821e+002°)
2.09943336724615e+001	(-2.70840608120290e+001dB,1.79410557709238e+002°)
2.11403608112278e+001	(-2.69636487863659e+001dB,1.79406457682003e+002°)
2.12874036490674e+001	(-2.68432367603246e+001dB,1.79402329134052e+002°)
2.14354692507260e+001	(-2.67228247338998e+001dB,1.79398171866951e+002°)
2.15845647300887e+001	(-2.66024127070864e+001dB,1.79393985680881e+002°)
2.17346972505213e+001	(-2.64820006798790e+001dB,1.79389770374636e+002°)
2.18858740252150e+001	(-2.63615886522722e+001dB,1.79385525745606e+002°)
2.20381023175324e+001	(-2.62411766242606e+001dB,1.79381251589771e+002°)
2.21913894413571e+001	(-2.61207645958388e+001dB,1.79376947701693e+002°)
2.23457427614446e+001	(-2.60003525670010e+001dB,1.79372613874501e+002°)
2.25011696937764e+001	(-2.58799405377417e+001dB,1.79368249899884e+002°)
2.26576777059162e+001	(-2.57595285080551e+001dB,1.79363855568083e+002°)
2.28152743173687e+001	(-2.56391164779354e+001dB,1.79359430667875e+002°)
2.29739670999409e+001	(-2.55187044473767e+001dB,1.79354974986569e+002°)
2.31337636781060e+001	(-2.53982924163731e+001dB,1.79350488309993e+002°)
2.32946717293693e+001	(-2.52778803849184e+001dB,1.79345970422482e+002°)
2.34566989846378e+001	(-2.51574683530065e+001dB,1.79341421106872e+002°)
2.36198532285908e+001	(-2.50370563206313e+001dB,1.79336840144484e+002°)
2.37841423000546e+001	(-2.49166442877865e+001dB,1.79332227315118e+002°)
2.39495740923788e+001	(-2.47962322544657e+001dB,1.79327582397041e+002°)
2.41161565538154e+001	(-2.46758202206624e+001dB,1.79322905166975e+002°)
2.42838976879012e+001	(-2.45554081863700e+001dB,1.79318195400088e+002°)
2.44528055538416e+001	(-2.44349961515821e+001dB,1.79313452869982e+002°)
2.46228882668986e+001	(-2.43145841162917e+001dB,1.79308677348682e+002°)
2.47941539987800e+001	(-2.41941720804923e+001dB,1.79303868606627e+002°)
2.49666109780325e+001	(-2.40737600441767e+001dB,1.79299026412656e+002°)
2.51402674904368e+001	(-2.39533480073382e+001dB,1.79294150533998e+002°)
2.53151318794059e+001	(-2.38329359699695e+001dB,1.79289240736262e+002°)
2.54912125463855e+001	(-2.37125239320636e+001dB,1.79284296783424e+002°)
2.56685179512583e+001	(-2.35921118936131e+001dB,1.79279318437818e+002°)
2.58470566127501e+001	(-2.34716998546108e+001dB,1.79274305460119e+002°)
2.60268371088389e+001	(-2.33512878150491e+001dB,1.79269257609339e+002°)
2.62078680771675e+001	(-2.32308757749206e+001dB,1.79264174642810e+002°)
2.63901582154582e+001	(-2.31104637342175e+001dB,1.79259056316174e+002°)
2.65737162819305e+001	(-2.29900516929322e+001dB,1.79253902383371e+002°)
2.67585510957225e+001	(-2.28696396510568e+001dB,1.79248712596627e+002°)
2.69446715373141e+001	(-2.27492276085833e+001dB,1.79243486706442e+002°)
2.71320865489537e+001	(-2.26288155655038e+001dB,1.79238224461580e+002°)
2.73208051350882e+001	(-2.25084035218100e+001dB,1.79232925609054e+002°)
2.75108363627952e+001	(-2.23879914774937e+001dB,1.79227589894112e+002°)
2.77021893622188e+001	(-2.22675794325465e+001dB,1.79222217060232e+002°)
2.78948733270084e+001	(-2.21471673869600e+001dB,1.79216806849103e+002°)
2.80888975147603e+001	(-2.20267553407256e+001dB,1.79211359000614e+002°)
2.82842712474622e+001	(-2.19063432938345e+001dB,1.79205873252844e+002°)
2.84810039119418e+001	(-2.17859312462781e+001dB,1.79200349342044e+002°)
2.86791049603169e+001	(-2.16655191980474e+001dB,1.79194787002631e+002°)
2.88785839104503e+001	(-2.15451071491333e+001dB,1.79189185967171e+002°)
2.90794503464066e+001	(-2.14246950995268e+001dB,1.79183545966365e+002°)
2.92817139189129e+001	(-2.13042830492185e+001dB,1.79177866729041e+002°)
2.94853843458224e+001	(-2.11838709981991e+001dB,1.79172147982134e+002°)
2.96904714125813e+001	(-2.10634589464591e+001dB,1.79166389450680e+002°)
2.98969849726991e+001	(-2.09430468939889e+001dB,1.79160590857796e+002°)
3.01049349482217e+001	(-2.08226348407787e+001dB,1.79154751924673e+002°)
3.03143313302083e+001	(-2.07022227868188e+001dB,1.79148872370557e+002°)
3.05251841792116e+001	(-2.05818107320990e+001dB,1.79142951912740e+002°)
3.07375036257606e+001	(-2.04613986766093e+001dB,1.79136990266540e+002°)
3.09512998708482e+001	(-2.03409866203394e+001dB,1.79130987145296e+002°)
3.11665831864204e+001	(-2.02205745632790e+001dB,1.79124942260347e+002°)
3.13833639158704e+001	(-2.01001625054177e+001dB,1.79118855321020e+002°)
3.16016524745355e+001	(-1.99797504467446e+001dB,1.79112726034617e+002°)
3.18214593501972e+001	(-1.98593383872492e+001dB,1.79106554106402e+002°)
3.20427951035853e+001	(-1.97389263269206e+001dB,1.79100339239582e+002°)
3.22656703688855e+001	(-1.96185142657475e+001dB,1.79094081135297e+002°)
3.24900958542498e+001	(-1.94981022037190e+001dB,1.79087779492605e+002°)
3.27160823423117e+001	(-1.93776901408237e+001dB,1.79081434008464e+002°)
3.29436406907034e+001	(-1.92572780770502e+001dB,1.79075044377722e+002°)
3.31727818325781e+001	(-1.91368660123869e+001dB,1.79068610293099e+002°)
3.34035167771352e+001	(-1.90164539468220e+001dB,1.79062131445174e+002°)
3.36358566101490e+001	(-1.88960418803436e+001dB,1.79055607522369e+002°)
3.38698124945015e+001	(-1.87756298129399e+001dB,1.79049038210933e+002°)
3.41053956707187e+001	(-1.86552177445985e+001dB,1.79042423194929e+002°)
3.43426174575106e+001	(-1.85348056753072e+001dB,1.79035762156218e+002°)
3.45814892523151e+001	(-1.84143936050536e+001dB,1.79029054774441e+002°)
3.48220225318454e+001	(-1.82939815338249e+001dB,1.79022300727008e+002°)
3.50642288526419e+001	(-1.81735694616084e+001dB,1.79015499689078e+002°)
3.53081198516267e+001	(-1.80531573883913e+001dB,1.79008651333547e+002°)
3.55537072466633e+001	(-1.79327453141603e+001dB,1.79001755331030e+002°)
3.58010028371194e+001	(-1.78123332389024e+001dB,1.78994811349843e+002°)
3.60500185044337e+001	(-1.76919211626040e+001dB,1.78987819055992e+002°)
3.63007662126869e+001	(-1.75715090852517e+001dB,1.78980778113154e+002°)
3.65532580091765e+001	(-1.74510970068317e+001dB,1.78973688182659e+002°)
3.68075060249955e+001	(-1.73306849273301e+001dB,1.78966548923477e+002°)
3.70635224756154e+001	(-1.72102728467329e+001dB,1.78959359992198e+002°)
3.73213196614728e+001	(-1.70898607650258e+001dB,1.78952121043018e+002°)
3.75809099685610e+001	(-1.69694486821946e+001dB,1.78944831727723e+002°)
3.78423058690244e+001	(-1.68490365982245e+001dB,1.78937491695667e+002°)
3.81055199217581e+001	(-1.67286245131010e+001dB,1.78930100593761e+002°)
3.83705647730111e+001	(-1.66082124268091e+001dB,1.78922658066452e+002°)
3.86374531569944e+001	(-1.64878003393337e+001dB,1.78915163755707e+002°)
3.89061978964920e+001	(-1.63673882506596e+001dB,1.78907617300996e+002°)
3.91768119034777e+001	(-1.62469761607713e+001dB,1.78900018339274e+002°)
3.94493081797350e+001	(-1.61265640696534e+001dB,1.78892366504962e+002°)
3.97236998174820e+001	(-1.60061519772899e+001dB,1.78884661429934e+002°)
4.00000000000006e+001	(-1.58857398836650e+001dB,1.78876902743491e+002°)
4.02782220022694e+001	(-1.57653277887624e+001dB,1.78869090072351e+002°)
4.05583791916018e+001	(-1.56449156925659e+001dB,1.78861223040626e+002°)
4.08404850282884e+001	(-1.55245035950589e+001dB,1.78853301269807e+002°)
4.11245530662433e+001	(-1.54040914962247e+001dB,1.78845324378742e+002°)
4.14105969536557e+001	(-1.52836793960465e+001dB,1.78837291983619e+002°)
4.16986304336455e+001	(-1.51632672945071e+001dB,1.78829203697949e+002°)
4.19886673449234e+001	(-1.50428551915894e+001dB,1.78821059132545e+002°)
4.22807216224559e+001	(-1.49224430872757e+001dB,1.78812857895504e+002°)
4.25748072981351e+001	(-1.48020309815486e+001dB,1.78804599592188e+002°)
4.28709385014524e+001	(-1.46816188743900e+001dB,1.78796283825204e+002°)
4.31691294601778e+001	(-1.45612067657820e+001dB,1.78787910194384e+002°)
4.34693945010430e+001	(-1.44407946557063e+001dB,1.78779478296770e+002°)
4.37717480504303e+001	(-1.43203825441445e+001dB,1.78770987726588e+002°)
4.40762046350651e+001	(-1.41999704310779e+001dB,1.78762438075231e+002°)
4.43827788827145e+001	(-1.40795583164877e+001dB,1.78753828931243e+002°)
4.46914855228895e+001	(-1.39591462003548e+001dB,1.78745159880290e+002°)
4.50023393875531e+001	(-1.38387340826600e+001dB,1.78736430505149e+002°)
4.53153554118327e+001	(-1.37183219633838e+001dB,1.78727640385683e+002°)
4.56305486347377e+001	(-1.35979098425066e+001dB,1.78718789098819e+002°)
4.59479341998822e+001	(-1.34774977200085e+001dB,1.78709876218532e+002°)
4.62675273562123e+001	(-1.33570855958693e+001dB,1.78700901315821e+002°)
4.65893434587390e+001	(-1.32366734700689e+001dB,1.78691863958688e+002°)
4.69133979692759e+001	(-1.31162613425867e+001dB,1.78682763712118e+002°)
4.72397064571820e+001	(-1.29958492134020e+001dB,1.78673600138058e+002°)
4.75682846001096e+001	(-1.28754370824939e+001dB,1.78664372795394e+002°)
4.78991481847580e+001	(-1.27550249498413e+001dB,1.78655081239933e+002°)
4.82323131076312e+001	(-1.26346128154229e+001dB,1.78645725024375e+002°)
4.85677953758027e+001	(-1.25142006792169e+001dB,1.78636303698297e+002°)
4.89056111076836e+001	(-1.23937885412018e+001dB,1.78626816808129e+002°)
4.92457765337975e+001	(-1.22733764013556e+001dB,1.78617263897131e+002°)
4.95883079975603e+001	(-1.21529642596559e+001dB,1.78607644505373e+002°)
4.99332219560653e+001	(-1.20325521160805e+001dB,1.78597958169707e+002°)
5.02805349808740e+001	(-1.19121399706066e+001dB,1.78588204423751e+002°)
5.06302637588121e+001	(-1.17917278232115e+001dB,1.78578382797864e+002°)
5.09824250927714e+001	(-1.16713156738720e+001dB,1.78568492819121e+002°)
5.13370359025171e+001	(-1.15509035225649e+001dB,1.78558534011289e+002°)
5.16941132255006e+001	(-1.14304913692668e+001dB,1.78548505894811e+002°)
5.20536742176783e+001	(-1.13100792139538e+001dB,1.78538407986772e+002°)
5.24157361543355e+001	(-1.11896670566021e+001dB,1.78528239800883e+002°)
5.27803164309167e+001	(-1.10692548971875e+001dB,1.78518000847455e+002°)
5.31474325638614e+001	(-1.09488427356857e+001dB,1.78507690633374e+002°)
5.35171021914455e+001	(-1.08284305720721e+001dB,1.78497308662079e+002°)
5.38893430746286e+001	(-1.07080184063218e+001dB,1.78486854433532e+002°)
5.42641730979079e+001	(-1.05876062384100e+001dB,1.78476327444203e+002°)
5.46416102701768e+001	(-1.04671940683113e+001dB,1.78465727187037e+002°)
5.50216727255908e+001	(-1.03467818960004e+001dB,1.78455053151431e+002°)
5.54043787244380e+001	(-1.02263697214517e+001dB,1.78444304823211e+002°)
5.57897466540173e+001	(-1.01059575446392e+001dB,1.78433481684607e+002°)
5.61777950295209e+001	(-9.98554536553688e+000dB,1.78422583214223e+002°)
5.65685424949249e+001	(-9.86513318411853e+000dB,1.78411608887018e+002°)
5.69620078238839e+001	(-9.74472100035763e+000dB,1.78400558174273e+002°)
5.73582099206342e+001	(-9.62430881422753e+000dB,1.78389430543570e+002°)
5.77571678209009e+001	(-9.50389662570133e+000dB,1.78378225458766e+002°)
5.81589006928135e+001	(-9.38348443475195e+000dB,1.78366942379963e+002°)
5.85634278378261e+001	(-9.26307224135210e+000dB,1.78355580763484e+002°)
5.89707686916452e+001	(-9.14266004547432e+000dB,1.78344140061845e+002°)
5.93809428251631e+001	(-9.02224784709092e+000dB,1.78332619723729e+002°)
5.97939699453987e+001	(-8.90183564617404e+000dB,1.78321019193958e+002°)
6.02098698964438e+001	(-8.78142344269563e+000dB,1.78309337913466e+002°)
6.06286626604171e+001	(-8.66101123662744e+000dB,1.78297575319273e+002°)
6.10503683584235e+001	(-8.54059902794105e+000dB,1.78285730844452e+002°)
6.14750072515217e+001	(-8.42018681660786e+000dB,1.78273803918108e+002°)
6.19025997416968e+001	(-8.29977460259909e+000dB,1.78261793965345e+002°)
6.23331663728412e+001	(-8.17936238588577e+000dB,1.78249700407237e+002°)
6.27667278317413e+001	(-8.05895016643881e+000dB,1.78237522660805e+002°)
6.32033049490714e+001	(-7.93853794422892e+000dB,1.78225260138981e+002°)
6.36429187003948e+001	(-7.81812571922664e+000dB,1.78212912250585e+002°)
6.40855902071710e+001	(-7.69771349140240e+000dB,1.78200478400291e+002°)
6.45313407377714e+001	(-7.57730126072643e+000dB,1.78187957988600e+002°)
6.49801917085001e+001	(-7.45688902716884e+000dB,1.78175350411810e+002°)
6.54321646846238e+001	(-7.33647679069963e+000dB,1.78162655061988e+002°)
6.58872813814072e+001	(-7.21606455128861e+000dB,1.78149871326934e+002°)
6.63455636651567e+001	(-7.09565230890550e+000dB,1.78136998590158e+002°)
6.68070335542709e+001	(-6.97524006351990e+000dB,1.78124036230842e+002°)
6.72717132202985e+001	(-6.85482781510129e+000dB,1.78110983623817e+002°)
6.77396249890036e+001	(-6.73441556361905e+000dB,1.78097840139525e+002°)
6.82107913414379e+001	(-6.61400330904244e+000dB,1.78084605143991e+002°)
6.86852349150217e+001	(-6.49359105134064e+000dB,1.78071277998793e+002°)
6.91629785046307e+001	(-6.37317879048279e+000dB,1.78057858061025e+002°)
6.96440450636914e+001	(-6.25276652643789e+000dB,1.78044344683272e+002°)
7.01284577052843e+001	(-6.13235425917490e+000dB,1.78030737213570e+002°)
7.06162397032539e+001	(-6.01194198866275e+000dB,1.78017034995382e+002°)
7.11074144933271e+001	(-5.89152971487032e+000dB,1.78003237367556e+002°)
7.16020056742393e+001	(-5.77111743776641e+000dB,1.77989343664301e+002°)
7.21000370088680e+001	(-5.65070515731986e+000dB,1.77975353215147e+002°)
7.26015324253744e+001	(-5.53029287349942e+000dB,1.77961265344915e+002°)
7.31065160183536e+001	(-5.40988058627392e+000dB,1.77947079373682e+002°)
7.36150120499916e+001	(-5.28946829561216e+000dB,1.77932794616749e+002°)
7.41270449512313e+001	(-5.16905600148295e+000dB,1.77918410384602e+002°)
7.46426393229462e+001	(-5.04864370385517e+000dB,1.77903925982884e+002°)
7.51618199371226e+001	(-4.92823140269774e+000dB,1.77889340712355e+002°)
7.56846117380493e+001	(-4.80781909797963e+000dB,1.77874653868858e+002°)
7.62110398435167e+001	(-4.68740678966993e+000dB,1.77859864743286e+002°)
7.67411295460228e+001	(-4.56699447773777e+000dB,1.77844972621546e+002°)
7.72749063139893e+001	(-4.44658216215241e+000dB,1.77829976784520e+002°)
7.78123957929846e+001	(-4.32616984288328e+000dB,1.77814876508031e+002°)
7.83536238069559e+001	(-4.20575751989991e+000dB,1.77799671062808e+002°)
7.88986163594705e+001	(-4.08534519317199e+000dB,1.77784359714449e+002°)
7.94473996349646e+001	(-3.96493286266945e+000dB,1.77768941723379e+002°)
8.00000000000018e+001	(-3.84452052836236e+000dB,1.77753416344821e+002°)
8.05564440045393e+001	(-3.72410819022106e+000dB,1.77737782828751e+002°)
8.11167583832042e+001	(-3.60369584821608e+000dB,1.77722040419867e+002°)
8.16809700565773e+001	(-3.48328350231827e+000dB,1.77706188357545e+002°)
8.22491061324872e+001	(-3.36287115249876e+000dB,1.77690225875802e+002°)
8.28211939073121e+001	(-3.24245879872894e+000dB,1.77674152203261e+002°)
8.33972608672916e+001	(-3.12204644098062e+000dB,1.77657966563109e+002°)
8.39773346898473e+001	(-3.00163407922591e+000dB,1.77641668173056e+002°)
8.45614432449124e+001	(-2.88122171343732e+000dB,1.77625256245299e+002°)
8.51496145962708e+001	(-2.76080934358782e+000dB,1.77608729986481e+002°)
8.57418770029054e+001	(-2.64039696965075e+000dB,1.77592088597649e+002°)
8.63382589203562e+001	(-2.51998459159997e+000dB,1.77575331274216e+002°)
8.69387890020867e+001	(-2.39957220940987e+000dB,1.77558457205919e+002°)
8.75434961008612e+001	(-2.27915982305530e+000dB,1.77541465576777e+002°)
8.81524092701309e+001	(-2.15874743251174e+000dB,1.77524355565052e+002°)
8.87655577654297e+001	(-2.03833503775527e+000dB,1.77507126343204e+002°)
8.93829710457797e+001	(-1.91792263876256e+000dB,1.77489777077852e+002°)
9.00046787751069e+001	(-1.79751023551100e+000dB,1.77472306929729e+002°)
9.06307108236660e+001	(-1.67709782797868e+000dB,1.77454715053641e+002°)
9.12610972694761e+001	(-1.55668541614441e+000dB,1.77437000598422e+002°)
9.18958683997650e+001	(-1.43627299998782e+000dB,1.77419162706893e+002°)
9.25350547124252e+001	(-1.31586057948938e+000dB,1.77401200515817e+002°)
9.31786869174787e+001	(-1.19544815463041e+000dB,1.77383113155854e+002°)
9.38267959385526e+001	(-1.07503572539313e+000dB,1.77364899751518e+002°)
9.44794129143647e+001	(-9.54623291760785e-001dB,1.77346559421131e+002°)
9.51365692002200e+001	(-8.34210853717580e-001dB,1.77328091276777e+002°)
9.57982963695166e+001	(-7.13798411248801e-001dB,1.77309494424261e+002°)
9.64646262152632e+001	(-5.93385964340842e-001dB,1.77290767963057e+002°)
9.71355907516061e+001	(-4.72973512981262e-001dB,1.77271910986264e+002°)
9.78112222153679e+001	(-3.52561057158834e-001dB,1.77252922580563e+002°)
9.84915530675957e+001	(-2.32148596863613e-001dB,1.77233801826163e+002°)
9.91766159951214e+001	(-1.11736132086998e-001dB,1.77214547796761e+002°)
9.98664439121314e+001	(8.67633717825222e-003dB,1.77195159559487e+002°)
1.00561069961749e+002	(1.29088810937884e-001dB,1.77175636174862e+002°)
1.01260527517625e+002	(2.49501289196161e-001dB,1.77155976696746e+002°)
1.01964850185544e+002	(3.69913771955736e-001dB,1.77136180172290e+002°)
1.02674071805035e+002	(4.90326259217635e-001dB,1.77116245641886e+002°)
1.03388226451002e+002	(6.10738750981120e-001dB,1.77096172139119e+002°)
1.04107348435357e+002	(7.31151247243678e-001dB,1.77075958690714e+002°)
1.04831472308672e+002	(8.51563748000937e-001dB,1.77055604316488e+002°)
1.05560632861834e+002	(9.71976253246552e-001dB,1.77035108029298e+002°)
1.06294865127724e+002	(1.09238876297218e+000dB,1.77014468834990e+002°)
1.07034204382892e+002	(1.21280127716731e+000dB,1.76993685732348e+002°)
1.07778686149258e+002	(1.33321379581928e+000dB,1.76972757713037e+002°)
1.08528346195817e+002	(1.45362631891312e+000dB,1.76951683761559e+002°)
1.09283220540354e+002	(1.57403884643150e+000dB,1.76930462855190e+002°)
1.10043345451182e+002	(1.69445137835457e+000dB,1.76909093963936e+002°)
1.10808757448877e+002	(1.81486391465997e+000dB,1.76887576050472e+002°)
1.11579493308035e+002	(1.93527645532263e+000dB,1.76865908070089e+002°)
1.12355590059043e+002	(2.05568900031471e+000dB,1.76844088970644e+002°)
1.13137084989851e+002	(2.17610154960551e+000dB,1.76822117692497e+002°)
1.13924015647769e+002	(2.29651410316131e+000dB,1.76799993168460e+002°)
1.14716419841269e+002	(2.41692666094532e+000dB,1.76777714323743e+002°)
1.15514335641803e+002	(2.53733922291749e+000dB,1.76755280075890e+002°)
1.16317801385628e+002	(2.65775178903445e+000dB,1.76732689334728e+002°)
1.17126855675653e+002	(2.77816435924935e+000dB,1.76709941002307e+002°)
1.17941537383291e+002	(2.89857693351174e+000dB,1.76687033972843e+002°)
1.18761885650327e+002	(3.01898951176747e+000dB,1.76663967132657e+002°)
